1000 5000
837 726 3716
629 658 4587
570 550 4275
712 714 600
480 413 2921
458 300 260
6 731 1444
882 261 2705
908 958 634
198 377 2378
221 385 4522
458 372 1555
86 974 2143
524 239 1008
522 185 1366
249 27 2499
246 614 480
712 174 1220
546 880 3951
737 563 2182
596 744 4006
193 502 3527
389 742 3754
181 305 2428
234 778 4885
753 317 313
160 498 1815
965 513 2199
620 184 428
292 616 3204
274 484 4710
357 956 2221
629 231 479
304 844 3223
765 403 3883
455 7 2554
700 495 3188
893 588 4399
198 328 4399
30 221 482
926 953 1276
149 660 1313
728 491 3073
445 727 670
468 938 691
150 486 3691
981 37 684
560 466 3373
135 479 899
453 189 2340
77 982 3329
681 634 3629
43 306 4150
381 176 2761
388 857 1016
509 869 1225
41 35 1546
57 280 2618
583 37 2290
97 498 3222
985 971 841
495 461 3133
694 949 2034
215 658 3721
79 181 3872
782 589 4433
327 74 589
286 239 4556
347 478 2943
953 246 2870
561 223 4111
537 387 2465
871 367 2450
220 749 235
984 117 4407
519 276 990
60 321 1759
231 31 2280
25 33 4140
779 670 4354
838 449 3849
89 263 1014
725 468 201
565 968 3702
705 883 2507
903 800 3180
26 57 3279
9 643 736
227 452 2512
125 85 2611
239 236 1522
62 623 357
251 323 2897
364 782 2876
664 257 693
330 360 1118
305 424 3728
790 558 2289
210 51 857
908 521 4556
327 97 4956
270 386 1626
80 23 4491
699 519 3902
727 857 1541
284 651 3233
759 712 2413
54 416 2163
686 193 1258
983 223 1952
438 644 2592
851 437 2755
241 883 1608
283 468 3153
506 87 455
12 525 555
63 533 4406
437 542 4919
767 559 151
238 507 986
87 812 1766
686 835 372
346 960 901
845 218 4301
667 786 1453
549 68 2642
831 409 1391
525 903 2346
195 137 3077
928 461 4542
102 583 3927
938 430 2067
158 191 2650
268 160 2754
162 249 1380
411 921 2450
406 261 204
387 335 3610
484 556 1523
642 710 2628
178 572 220
414 688 178
197 863 4358
15 880 1601
161 471 3498
339 461 1654
778 194 2219
398 961 2291
373 183 3061
617 3 3714
428 259 1471
895 957 2797
150 619 332
338 986 4660
624 905 132
413 841 2935
952 542 1484
416 774 2703
427 85 3992
225 900 4447
495 750 1993
668 669 1465
425 590 119
743 934 2626
673 242 4034
627 457 3407
800 708 4778
402 209 939
515 748 1063
754 47 1119
400 992 3945
324 181 3547
216 576 4798
556 17 31
93 826 3615
113 655 3018
574 388 2038
433 784 325
567 435 2469
780 91 1342
507 633 1811
170 590 366
176 572 169
274 960 4938
872 400 738
90 418 3988
759 134 2230
646 445 1233
212 417 4782
663 396 3930
341 180 3055
685 50 2403
179 720 980
426 131 1473
109 751 296
604 233 23
943 441 3
51 132 3032
104 121 4381
463 774 1842
592 510 3247
945 229 2496
178 500 2967
891 244 2640
255 735 3495
233 770 182
574 188 4771
814 729 3776
920 370 1789
917 104 3261
168 826 3724
734 428 3396
577 859 4109
311 375 4043
836 59 4939
431 637 1354
101 477 3713
894 596 547
713 240 3525
714 677 4661
789 642 1564
705 863 27
44 807 69
762 592 304
384 760 348
258 457 2735
818 883 867
321 151 4076
890 548 3805
501 546 2214
76 424 1813
523 857 4504
99 228 4619
465 905 388
530 857 2956
816 780 881
832 984 4935
757 548 1600
905 518 4161
160 848 818
31 641 510
551 666 2703
614 216 4049
747 412 2398
774 13 2997
514 239 1209
46 263 3102
96 581 2323
148 193 2024
39 335 2978
182 183 351
159 115 4706
108 88 4397
286 142 2532
896 294 682
376 309 181
406 604 843
92 838 2635
950 633 2088
605 975 624
512 35 3808
495 561 1601
532 536 625
37 242 3443
429 140 2316
456 682 2195
136 207 3289
787 293 3039
27 899 2863
1 918 1389
4 135 4515
719 602 727
202 449 2465
735 376 106
207 285 2588
524 411 3314
603 351 2170
810 29 3926
104 713 1674
522 230 1071
255 148 3872
987 339 4672
828 522 661
45 261 1647
673 805 433
870 401 810
377 648 3006
46 298 401
5 318 249
32 123 4468
643 946 1455
152 155 1531
50 246 1269
578 11 208
710 57 1299
830 257 589
133 976 4440
935 360 4534
181 989 4422
939 287 2138
696 695 1142
555 417 3948
914 40 3791
195 128 1961
122 602 654
742 489 4447
917 544 3493
984 721 441
112 537 4909
719 329 397
426 616 2367
103 800 460
52 734 2264
612 201 470
589 113 4647
117 549 1790
996 712 2480
249 848 4832
784 629 4313
124 735 46
333 916 4548
823 206 1818
73 133 848
107 833 220
592 166 4259
15 232 1580
204 804 4009
326 774 1972
229 23 65
863 787 2701
816 12 4587
161 657 2226
543 766 988
109 387 2045
256 216 1342
354 570 919
944 164 118
18 381 2845
56 337 299
264 333 3027
893 643 148
321 227 2812
242 165 3284
991 357 764
404 600 640
656 560 3891
136 949 1885
103 873 4158
436 369 3467
935 892 2396
373 446 3802
796 804 67
773 976 3998
615 177 3646
78 875 3850
830 314 2837
538 953 2043
164 62 2628
190 345 3092
244 744 1570
891 56 302
71 468 1744
465 148 3632
20 461 3912
583 607 4273
301 606 3513
312 328 1216
31 688 873
745 687 3560
420 781 4405
598 842 3248
948 865 1881
154 150 1409
952 548 35
978 1000 2763
10 971 1358
567 952 4480
809 248 440
342 318 4191
178 985 2639
363 512 905
1000 212 1366
678 755 2603
843 536 3288
103 97 2591
665 476 4200
76 844 1199
664 366 1549
63 872 2931
339 79 865
266 928 4812
672 665 2462
225 181 2232
30 257 2621
521 635 3645
765 985 2754
305 195 2454
101 122 1784
713 23 4389
192 17 4735
1000 284 725
909 304 214
793 601 1962
371 699 3833
806 408 2332
204 619 3228
105 976 2762
743 563 4561
260 951 233
94 682 2605
654 875 1692
734 639 3305
223 517 195
772 457 2975
893 427 3770
116 973 3245
257 135 821
942 589 871
146 151 3637
402 380 620
657 132 893
947 827 3866
850 479 128
763 575 3439
