  Number     Name    CFNHWG0001  CVODGT0002  CPXIJU0003  CETDXH0004  CGCCDR0005  CGARWR0006  CPAKQS0007  CEZNMQ0008  CVECRX0009  CHFWUG0010  CMSONV0011  CELMFZ0012  CBIIFR0013  CAOKHQ0014  CGJAPT0015  CZUTDS0016  CJAKDJ0017  CZMWTL0018  COPJOP0019  CFPHJF0020 
 20190001  MINU0001      No          No          No          Yes         Yes         Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         No     
 20190002  YAAG0002      No          Yes         Yes         No          No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes    
 20190003  QWXH0003      No          No          No          No          No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         Yes    
 20190004  FQZC0004      Yes         No          No          No          Yes         Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          Yes         No          No          No     
 20190005  ISBW0005      Yes         No          No          Yes         No          Yes         Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          Yes         No     
 20190006  JITQ0006      No          No          Yes         No          No          No          No          Yes         Yes         Yes         No          No          No          No          No          No          No          Yes         No          No     
 20190007  USXA0007      Yes         Yes         No          No          No          Yes         No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          Yes    
 20190008  JADR0008      No          Yes         No          No          No          No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          Yes    
 20190009  USXU0009      No          No          No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         No          Yes         No          No          Yes         No     
 20190010  JHZY0010      No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          No     
 20190011  REYC0011      No          Yes         No          Yes         No          Yes         No          Yes         No          No          Yes         No          No          No          Yes         No          No          No          Yes         No     
 20190012  HRBG0012      Yes         No          No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          Yes         No          Yes         No          No     
 20190013  IDVT0013      No          No          No          No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         Yes         Yes    
 20190014  VDJJ0014      No          No          No          Yes         No          Yes         No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          Yes         No     
 20190015  NLZQ0015      No          No          Yes         No          No          No          No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         No          No          Yes    
 20190016  NYDG0016      No          Yes         No          Yes         No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          Yes         No          No          No     
 20190017  LGAE0017      Yes         No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          No          No     
 20190018  VJSD0018      No          No          No          Yes         No          Yes         Yes         No          Yes         No          No          No          No          No          Yes         No          Yes         Yes         No          No     
 20190019  BKOC0019      No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          No     
 20190020  SZMT0020      No          No          No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          Yes    
 20190021  GZKZ0021      No          Yes         No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          No          No     
 20190022  ZUVH0022      No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          Yes         Yes         No          No          No          No          No          Yes         No     
 20190023  TXWP0023      Yes         No          No          No          No          No          No          Yes         No          No          No          No          No          Yes         No          Yes         No          Yes         No          No     
 20190024  HBZE0024      No          No          No          Yes         No          No          Yes         No          Yes         Yes         No          No          No          No          No          Yes         No          No          No          No     
 20190025  PKZK0025      Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         Yes         No          Yes         No          No          Yes         No          No     
 20190026  ZUSP0026      No          No          No          Yes         No          Yes         No          Yes         No          Yes         No          Yes         No          Yes         No          No          No          Yes         No          No     
 20190027  FHKG0027      No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          Yes         No          Yes    
 20190028  TCIR0028      No          Yes         No          Yes         No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         No          No     
 20190029  HDVP0029      No          No          No          Yes         No          No          No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          Yes    
 20190030  CFEC0030      No          Yes         No          No          Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         No          Yes         Yes         Yes    
 20190031  DZQO0031      No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          No          No          No          No     
 20190032  UOVC0032      Yes         No          No          Yes         No          Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         No          Yes         No          No     
 20190033  TXYI0033      Yes         No          No          No          No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          Yes    
 20190034  TAUH0034      Yes         Yes         No          No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No     
 20190035  KEZQ0035      No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         No          No          Yes         Yes         Yes         Yes         No          No     
 20190036  MNWA0036      No          No          No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         No          No          Yes         No          No          Yes    
 20190037  WECC0037      Yes         No          No          Yes         No          No          No          No          Yes         Yes         No          Yes         No          Yes         No          No          No          Yes         No          No     
 20190038  XYQO0038      No          No          Yes         No          No          No          No          No          Yes         Yes         No          Yes         No          No          Yes         No          No          No          Yes         No     
 20190039  NMAH0039      No          Yes         No          Yes         No          No          Yes         No          No          No          Yes         No          No          No          No          No          No          Yes         No          No     
 20190040  CGSN0040      No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes    
 20190041  BSSZ0041      No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          Yes    
 20190042  UARM0042      No          No          No          No          No          No          Yes         No          Yes         Yes         No          No          No          No          Yes         No          Yes         No          No          No     
 20190043  LYVB0043      No          No          No          No          No          Yes         No          Yes         Yes         Yes         No          No          No          No          No          No          Yes         No          No          No     
 20190044  LYUF0044      No          Yes         No          No          Yes         No          No          No          No          Yes         No          Yes         No          Yes         Yes         Yes         No          No          No          No     
 20190045  MQUV0045      No          No          No          Yes         No          Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         No          Yes         No     
 20190046  IEUY0046      No          Yes         No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No     
 20190047  LAJR0047      No          No          No          No          Yes         Yes         No          No          Yes         Yes         No          Yes         No          No          No          No          Yes         No          No          No     
 20190048  CFSP0048      No          No          No          No          Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          No          Yes         No     
 20190049  QZQS0049      No          No          No          Yes         Yes         No          Yes         Yes         No          No          No          No          No          Yes         No          No          No          No          No          No     
 20190050  RMUJ0050      No          Yes         No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          Yes         Yes         No          Yes    
